Training Episode,Accelerate (3),Straight (0),Brake (4),Left (1),Right (2)
0,0.423076928,0.07692308,0.423076928,0.03846154,0.03846154
1,0.911111116,0,0.06666667,0,0.022222223
2,0.096153848,0.346153855,0.288461536,0.03846154,0.230769232
3,0.134615391,0,0.115384616,0.442307681,0.307692319
4,0.057692308,0.01923077,0.25,0.192307696,0.480769217
5,0.07692308,0.01923077,0.461538464,0.230769232,0.211538464
6,0.5,0.01923077,0.442307681,0,0.03846154
7,0.115384616,0.03846154,0.634615362,0.01923077,0.192307696
8,0.230769232,0.01923077,0.192307696,0.01923077,0.538461566
9,0.346153855,0,0.596153855,0,0.057692308
10,0.519230783,0.01923077,0.03846154,0.057692308,0.365384609
11,0.384615391,0.01923077,0,0.403846145,0.192307696
12,0.173076928,0.057692308,0,0.288461536,0.480769217
13,0.71875,0.03125,0.03125,0,0.21875
14,0.230769232,0.03846154,0.307692319,0.15384616,0.269230783
15,0.769230783,0.07692308,0.096153848,0.057692308,0
16,0.928571403,0.047619049,0,0,0.023809524
17,0.975000024,0,0,0,0.025
18,0.615384638,0,0.096153848,0.25,0.03846154
19,0.596153855,0,0.192307696,0.192307696,0.01923077
20,0.596153855,0.096153848,0,0.307692319,0
21,0.365384609,0.307692319,0.15384616,0.15384616,0.01923077
22,0.230769232,0.403846145,0.03846154,0.326923072,0
23,0.07692308,0.576923072,0.01923077,0.326923072,0
24,0.173076928,0.634615362,0,0.173076928,0.01923077
25,0.115384616,0.711538434,0.07692308,0.01923077,0.07692308
26,0.461538464,0.365384609,0.03846154,0.03846154,0.096153848
27,0.230769232,0.384615391,0,0.211538464,0.173076928
28,0.192307696,0.673076928,0,0.03846154,0.096153848
29,0.07692308,0.730769217,0.03846154,0.01923077,0.134615391
30,0.192307696,0.557692289,0,0.15384616,0.096153848
31,0.384615391,0.346153855,0.057692308,0.134615391,0.07692308
32,0.057692308,0.884615362,0,0.01923077,0.03846154
33,0.192307696,0.596153855,0.03846154,0.134615391,0.03846154
34,0.307692319,0.15384616,0.096153848,0.173076928,0.269230783
35,0.230769232,0.384615391,0.057692308,0.115384616,0.211538464
36,0.211538464,0.634615362,0.057692308,0.096153848,0
37,0.25,0.557692289,0.115384616,0.07692308,0
38,0.461538464,0.307692319,0.096153848,0.134615391,0
39,0.480769217,0.25,0.07692308,0.15384616,0.03846154
40,0.384615391,0.365384609,0.115384616,0.096153848,0.03846154
41,0.269230783,0.461538464,0,0.25,0.01923077
42,0.307692319,0.230769232,0.307692319,0.03846154,0.115384616
43,0.326923072,0.307692319,0.03846154,0.134615391,0.192307696
44,0.673076928,0.115384616,0.057692308,0.134615391,0.01923077
45,0.326923072,0.5,0.01923077,0.134615391,0.01923077
46,0.307692319,0.365384609,0.01923077,0.134615391,0.173076928
47,0.461538464,0.269230783,0,0.096153848,0.173076928
48,0.115384616,0.07692308,0.01923077,0.365384609,0.423076928
49,0.01923077,0.461538464,0,0.01923077,0.5
50,0.03846154,0.653846145,0,0,0.307692319
51,0.07692308,0.461538464,0.115384616,0.288461536,0.057692308
52,0.192307696,0.557692289,0.01923077,0.173076928,0.057692308
53,0.115384616,0.576923072,0,0.096153848,0.211538464
54,0.115384616,0.692307711,0.01923077,0.134615391,0.03846154
55,0.057692308,0.865384638,0,0.03846154,0.03846154
56,0.057692308,0.730769217,0,0.03846154,0.173076928
57,0.03846154,0.807692289,0,0.115384616,0.03846154
58,0.057692308,0.903846145,0,0,0.03846154
59,0.096153848,0.75,0.057692308,0.07692308,0.01923077
60,0.15384616,0.692307711,0,0.096153848,0.057692308
61,0.115384616,0.423076928,0.07692308,0.211538464,0.173076928
62,0.230769232,0.641025662,0,0,0.128205135
63,0.90322578,0.064516127,0.032258064,0,0
64,0.43589744,0.15384616,0.025641026,0.128205135,0.256410271
65,0.15384616,0.134615391,0.288461536,0.269230783,0.15384616
66,0.192307696,0,0.75,0.01923077,0.03846154
67,0.25,0.326923072,0.25,0.03846154,0.134615391
68,0.326923072,0.288461536,0.07692308,0.096153848,0.211538464
69,0.442307681,0.07692308,0.057692308,0.096153848,0.326923072
70,0.651162803,0.046511628,0.232558146,0.023255814,0.046511628
71,0.439024389,0.243902445,0.024390243,0.121951222,0.170731708
72,0.365384609,0.25,0.03846154,0.096153848,0.25
73,0.365384609,0.03846154,0.384615391,0.134615391,0.07692308
74,0.519230783,0,0.384615391,0.07692308,0.01923077
75,0.365384609,0.211538464,0.25,0.15384616,0.01923077
76,0.319999993,0.319999993,0.059999999,0.140000001,0.159999996
77,0.769230783,0.03846154,0,0.15384616,0.03846154
78,0.346153855,0.288461536,0,0.057692308,0.307692319
79,0.192307696,0.07692308,0,0.461538464,0.269230783
80,0.729729712,0.054054055,0,0.108108111,0.108108111
81,0.729166687,0.229166672,0,0.041666668,0
82,0.925000012,0,0,0,0.075000003
83,0.557692289,0.01923077,0.03846154,0.01923077,0.365384609
