Wall time,Step,Value
1682886759.3706317,0,11.0
1682886760.30319,1,10.0
1682886760.4869163,2,11.0
1682886760.6527345,3,10.0
1682886760.8027682,4,9.0
1682886761.0025628,5,11.0
1682886761.1693811,6,10.0
1682886761.3692575,7,12.0
1682886761.586303,8,9.0
1682886761.802369,9,12.0
1682886761.9860735,10,11.0
1682886762.13551,11,9.0
1682886762.2691157,12,8.0
1682886762.4353795,13,10.0
1682886762.669143,14,14.0
1682886762.8020742,15,8.0
1682886762.9517164,16,9.0
1682886763.1182847,17,10.0
1682886763.284868,18,10.0
1682886763.4514709,19,10.0
1682886763.634674,20,10.0
1682886764.600794,21,9.0
1682886764.7506433,22,9.0
1682886764.9172723,23,10.0
1682886765.083769,24,10.0
1682886765.267329,25,11.0
1682886765.450314,26,11.0
1682886765.6002738,27,9.0
1682886765.80005,28,12.0
1682886765.9333797,29,8.0
1682886766.083289,30,9.0
1682886766.2833922,31,12.0
1682886766.4830656,32,12.0
1682886766.6503878,33,10.0
1682886766.8164666,34,10.0
1682886766.9993806,35,11.0
1682886767.1499264,36,8.0
1682886767.3324547,37,10.0
1682886767.5159173,38,11.0
1682886767.699996,39,11.0
1682886767.8656385,40,10.0
1682886768.7817879,41,8.0
1682886768.9651682,42,11.0
1682886769.131812,43,10.0
1682886769.3150842,44,11.0
1682886769.5151033,45,11.0
1682886769.6978574,46,10.0
1682886769.8645015,47,10.0
1682886770.014376,48,9.0
1682886770.1642911,49,9.0
1682886770.331525,50,10.0
1682886770.5315099,51,12.0
1682886770.7148178,52,11.0
1682886770.880713,53,10.0
1682886771.0471888,54,10.0
1682886771.2803817,55,14.0
1682886772.1971955,56,54.0
1682886772.43049,57,13.0
1682886773.4670074,58,56.0
1682886774.1639922,59,35.0
1682886774.5619314,60,19.0
1682886776.0111082,61,12.0
1682886776.8110967,62,45.0
1682886777.1443896,63,19.0
1682886777.5100923,64,22.0
1682886777.8940823,65,23.0
1682886778.2596736,66,19.0
1682886778.5596907,67,18.0
1682886778.7762334,68,13.0
1682886779.0594103,69,17.0
1682886779.375897,70,19.0
1682886779.6106062,71,14.0
1682886780.0088365,72,23.0
1682886780.791768,73,46.0
1682886781.1747806,74,23.0
1682886782.1249924,75,52.0
1682886783.1071966,76,58.0
1682886784.6061957,77,87.0
1682886785.7233827,78,62.0
1682886788.5873978,79,158.0
1682886791.5873766,80,149.0
1682886820.6527486,81,238.0
1682886828.1492965,82,444.0
1682886832.9791994,83,286.0
1682886836.294883,84,167.0
1682886840.376132,85,222.0
1682886844.457118,86,221.0
1682886848.520498,87,244.0
1682886851.6191423,88,186.0
1682886855.2002509,89,215.0
1682886859.39792,90,249.0
1682886863.929114,91,270.0
1682886868.693,92,285.0
1682886873.4565473,93,286.0
1682886879.3875685,94,356.0
1682886886.0004666,95,391.0
1682886890.4141521,96,242.0
1682886896.3111825,97,327.0
1682886900.258051,98,230.0
1682886904.739039,99,265.0
1682886909.2866263,100,273.0
1682886940.8365102,101,421.0
1682886945.7005804,102,276.0
1682886949.4988616,103,225.0
1682886953.7131472,104,235.0
1682886959.1420712,105,319.0
1682886964.5721576,106,323.0
1682886970.0366542,107,326.0
1682886975.0672922,108,300.0
1682886979.0978322,109,230.0
1682886982.8124826,110,213.0
1682886986.276747,111,205.0
1682886991.9402542,112,339.0
1682886996.7712054,113,270.0
1682887001.035736,114,238.0
1682887006.3004596,115,259.0
1682887009.9654968,116,201.0
1682887013.0960248,117,177.0
1682887018.375381,118,314.0
1682887022.4740975,119,237.0
1682887026.3379958,120,228.0
1682887053.040302,121,234.0
1682887058.5863888,122,322.0
1682887062.6671982,123,218.0
1682887066.5483675,124,219.0
1682887072.6454513,125,347.0
1682887079.1747081,126,343.0
1682887084.1894636,127,270.0
1682887087.5201132,128,192.0
1682887090.702913,129,182.0
1682887095.1834145,130,250.0
1682887102.513212,131,394.0
1682887106.5594578,132,237.0
1682887110.6409318,133,218.0
1682887115.0879369,134,247.0
1682887118.7696097,135,202.0
1682887123.1501746,136,261.0
1682887127.2812014,137,226.0
1682887132.2959154,138,287.0
1682887136.4771283,139,244.0
1682887140.5404098,140,234.0
1682887165.5940301,141,189.0
1682887169.4249895,142,197.0
1682887173.288866,143,221.0
1682887177.5536754,144,249.0
1682887180.7512808,145,188.0
1682887186.815254,146,358.0
1682887191.128713,147,259.0
1682887195.7934616,148,280.0
1682887199.5426698,149,223.0
1682887203.8382685,150,212.0
1682887206.9704535,151,182.0
1682887211.5854518,152,260.0
1682887215.2664542,153,200.0
1682887218.8466275,154,194.0
1682887222.4955876,155,219.0
1682887227.1259575,156,265.0
1682887230.3575208,157,190.0
1682887233.7881262,158,195.0
1682887237.6537988,159,213.0
1682887238.6198447,160,57.0
1682887260.3424478,161,192.0
1682887264.3721616,162,186.0
1682887272.3010576,163,403.0
1682887277.0499763,164,262.0
1682887280.5466516,165,199.0
1682887283.9611926,166,204.0
1682887289.2420764,167,314.0
1682887293.039813,168,227.0
1682887296.5874665,169,211.0
1682887300.4862144,170,234.0
1682887305.199235,171,277.0
1682887309.9144146,172,265.0
1682887313.244815,173,194.0
1682887317.8589005,174,277.0
1682887322.0237596,175,249.0
1682887325.739046,176,221.0
1682887329.0692885,177,200.0
1682887333.466575,178,251.0
1682887341.998953,179,359.0
1682887348.2261562,180,242.0
1682887374.8148541,181,328.0
1682887381.1402724,182,264.0
1682887384.9079158,183,222.0
1682887387.720022,184,161.0
1682887390.9013588,185,178.0
1682887394.366873,186,194.0
1682887397.1474903,187,158.0
1682887401.8624623,188,279.0
1682887405.4596741,189,208.0
1682887408.9246047,190,205.0
1682887411.7404017,191,168.0
1682887414.6214259,192,172.0
1682887415.6546268,193,62.0
1682887418.2526402,194,155.0
1682887421.1854725,195,170.0
1682887424.5991347,196,163.0
1682887427.3309867,197,163.0
1682887429.9795048,198,159.0
1682887432.5123289,199,150.0
1682887435.5275247,200,180.0
1682887450.5847266,201,145.0
1682887453.6335735,202,178.0
1682887456.0985048,203,143.0
1682887459.0468361,204,153.0
1682887461.8779156,205,167.0
1682887464.3272145,206,147.0
1682887467.0246978,207,162.0
1682887469.373416,208,141.0
1682887471.9393413,209,154.0
1682887474.520756,210,155.0
1682887477.2197258,211,162.0
1682887479.5181131,212,138.0
1682887481.9343567,213,145.0
1682887484.5156522,214,155.0
1682887486.8310254,215,139.0
1682887489.2461169,216,145.0
1682887492.311218,217,165.0
1682887494.8780758,218,143.0
1682887497.5750065,219,134.0
1682887499.906973,220,140.0
1682887514.2337925,221,137.0
1682887516.7142956,222,137.0
1682887519.6296902,223,153.0
1682887522.1279402,224,150.0
1682887524.593173,225,141.0
1682887527.3760262,226,139.0
1682887530.273292,227,156.0
1682887532.788646,228,150.0
1682887535.4038339,229,157.0
1682887537.7525597,230,139.0
1682887540.2847824,231,151.0
1682887542.8349435,232,149.0
1682887545.5479884,233,155.0
1682887547.9137304,234,142.0
1682887550.328821,235,145.0
1682887552.744571,236,144.0
1682887555.1092644,237,142.0
1682887555.8257482,238,41.0
1682887558.074465,239,135.0
1682887560.3065755,240,133.0
1682887573.732391,241,144.0
1682887575.864544,242,128.0
1682887578.3131733,243,147.0
1682887580.745347,244,144.0
1682887582.8606303,245,127.0
1682887585.2592676,246,144.0
1682887587.5413284,247,137.0
1682887589.7734334,248,134.0
1682887592.2387073,249,148.0
1682887594.6207194,250,143.0
1682887597.0027082,251,143.0
1682887599.3856316,252,143.0
1682887601.833339,253,140.0
1682887604.0988243,254,136.0
1682887606.5815089,255,149.0
1682887608.8960593,256,135.0
1682887611.278005,257,143.0
1682887613.8604903,258,152.0
1682887616.309136,259,141.0
1682887618.8760152,260,139.0
