Wall time,Step,Value
1682965303.5792189,0,9.0
1682965304.5284991,1,10.0
1682965304.678689,2,9.0
1682965304.8450966,3,10.0
1682965304.9952717,4,9.0
1682965305.2450988,5,12.0
1682965305.41184,6,10.0
1682965305.5781705,7,10.0
1682965305.7614152,8,11.0
1682965305.911396,9,9.0
1682965306.1445935,10,14.0
1682965306.2941086,11,9.0
1682965306.4610858,12,10.0
1682965306.6276517,13,9.0
1682965306.7775667,14,9.0
1682965306.9773877,15,12.0
1682965307.1606894,16,11.0
1682965307.2939494,17,8.0
1682965307.4770212,18,11.0
1682965307.643759,19,10.0
1682965307.7768443,20,8.0
1682965308.859686,21,15.0
1682965309.0596244,22,12.0
1682965309.2261999,23,10.0
1682965309.3760524,24,9.0
1682965309.5267344,25,9.0
1682965309.7091937,26,11.0
1682965309.859176,27,9.0
1682965310.0257583,28,10.0
1682965310.2089865,29,11.0
1682965310.3753176,30,10.0
1682965310.5257773,31,9.0
1682965310.7086985,32,11.0
1682965310.9087055,33,12.0
1682965311.0751576,34,10.0
1682965311.241452,35,10.0
1682965311.3916497,36,9.0
1682965311.5914795,37,12.0
1682965311.741397,38,9.0
1682965311.8747225,39,8.0
1682965312.0745983,40,12.0
1682965313.0407474,41,10.0
1682965313.2072465,42,10.0
1682965313.3738296,43,10.0
1682965313.5237732,44,9.0
1682965313.7401638,45,13.0
1682965313.939885,46,12.0
1682965314.1068141,47,10.0
1682965314.5059907,48,24.0
1682965314.8059683,49,17.0
1682965315.0562756,50,15.0
1682965315.3896518,51,20.0
1682965315.6230962,52,13.0
1682965315.8057878,53,11.0
1682965316.0390525,54,14.0
1682965316.172243,55,8.0
1682965316.355542,56,11.0
1682965316.6057503,57,15.0
1682965316.8885107,58,17.0
1682965317.2050285,59,19.0
1682965317.438262,60,14.0
1682965318.8874526,61,12.0
1682965319.2039592,62,15.0
1682965319.4375818,63,14.0
1682965319.8702435,64,26.0
1682965320.1367612,65,16.0
1682965320.6531343,66,31.0
1682965321.9190962,67,76.0
1682965322.5353613,68,37.0
1682965323.884671,69,81.0
1682965325.1006527,70,73.0
1682965325.9501004,71,51.0
1682965329.814681,72,231.0
1682965331.6469827,73,109.0
1682965333.5459836,74,113.0
1682965335.8113291,75,136.0
1682965338.5098178,76,162.0
1682965341.191648,77,159.0
1682965344.7396607,78,213.0
1682965347.2216113,79,149.0
1682965350.0532503,80,170.0
1682965366.1776662,81,117.0
1682965368.6262324,82,147.0
1682965371.1582036,83,151.0
1682965373.8067243,84,158.0
1682965376.6384058,85,170.0
1682965379.1537364,86,150.0
1682965382.2020266,87,183.0
1682965385.8832352,88,220.0
1682965388.9481826,89,183.0
1682965392.0631163,90,187.0
1682965395.3113527,91,191.0
1682965398.809401,92,209.0
1682965405.9050648,93,425.0
1682965408.9370217,94,181.0
1682965413.0181177,95,244.0
1682965417.1991105,96,250.0
1682965420.7138119,97,211.0
1682965424.5116873,98,227.0
1682965428.1929662,99,221.0
1682965431.3078208,100,187.0
1682965450.3147266,101,203.0
1682965453.295585,102,176.0
1682965456.343868,103,183.0
1682965459.7253027,104,203.0
1682965463.1733887,105,207.0
1682965466.372015,106,192.0
1682965469.3203018,107,177.0
1682965472.5182323,108,191.0
1682965475.7499275,109,193.0
1682965478.7646482,110,181.0
1682965482.029422,111,195.0
1682965485.2276978,112,192.0
1682965488.5260625,113,198.0
1682965491.8406754,114,199.0
1682965494.9726477,115,188.0
1682965498.4203227,116,206.0
1682965501.0021336,117,155.0
1682965503.9172435,118,175.0
1682965506.9652567,119,181.0
1682965509.9138923,120,176.0
1682965530.1858702,121,181.0
1682965532.7840674,122,156.0
1682965535.9157846,123,188.0
1682965538.8477023,124,176.0
1682965541.7460687,125,174.0
1682965544.861092,126,185.0
1682965547.8426692,127,179.0
1682965550.990908,128,189.0
1682965553.9226003,129,176.0
1682965557.0539412,130,188.0
1682965560.0525014,131,178.0
1682965563.3339312,132,196.0
1682965566.9318395,133,216.0
1682965570.3967109,134,207.0
1682965573.0951345,135,162.0
1682965575.9769106,136,171.0
1682965578.925263,137,177.0
1682965585.5715394,138,399.0
1682965588.8031156,139,193.0
1682965592.2854338,140,207.0
1682965611.6408165,141,196.0
1682965614.5054934,142,172.0
1682965618.0699575,143,213.0
1682965621.8348622,144,226.0
1682965625.2997322,145,208.0
1682965629.0638115,146,225.0
1682965632.3291607,147,196.0
1682965635.6767642,148,201.0
1682965639.0415533,149,202.0
1682965643.1559885,150,247.0
1682965646.70406,151,213.0
1682965650.618409,152,235.0
1682965654.8992004,153,257.0
1682965658.1975079,154,197.0
1682965661.4292133,155,194.0
1682965665.0604806,156,217.0
1682965668.7251804,157,220.0
1682965672.8066432,158,245.0
1682965676.2207582,159,205.0
1682965679.6188269,160,204.0
1682965702.3560874,161,191.0
1682965706.1880758,162,230.0
1682965709.336014,163,189.0
1682965713.2167118,164,233.0
1682965716.448241,165,194.0
1682965720.0961952,166,218.0
1682965724.0607533,167,238.0
1682965727.8085434,168,225.0
1682965731.1067038,169,197.0
1682965734.2049723,170,186.0
1682965737.802955,171,216.0
1682965740.6847355,172,173.0
1682965743.8828945,173,192.0
1682965747.6641083,174,227.0
1682965751.0296395,175,201.0
1682965754.5269253,176,210.0
1682965757.7917666,177,196.0
1682965761.4563901,178,220.0
1682965764.5718658,179,187.0
1682965768.585724,180,240.0
1682965795.337269,181,230.0
1682965798.9188983,182,210.0
1682965802.4002557,183,206.0
1682965806.4312222,184,239.0
1682965809.829548,185,204.0
1682965813.5274382,186,219.0
1682965817.5088568,187,237.0
1682965821.9894772,188,264.0
1682965826.3862994,189,262.0
1682965829.9849327,190,211.0
1682965833.316568,191,198.0
1682965837.1142251,192,223.0
1682965840.6789615,193,207.0
1682965845.626437,194,290.0
1682965849.3738577,195,222.0
1682965852.805085,196,206.0
1682965857.2027328,197,261.0
1682965861.2337663,198,237.0
1682965866.8647747,199,329.0
1682965871.528355,200,272.0
1682965895.5646787,201,244.0
1682965899.9126515,202,261.0
1682965903.6269543,203,222.0
1682965906.6748593,204,182.0
1682965911.6723258,205,298.0
1682965915.1373491,206,208.0
1682965919.0518203,207,233.0
1682965922.6495178,208,216.0
1682965927.097021,209,266.0
1682965930.9287899,210,229.0
1682965935.5922723,211,279.0
1682965940.53942,212,296.0
1682965942.5385482,213,118.0
1682965946.4363635,214,232.0
1682965953.0158505,215,394.0
1682965958.363763,216,313.0
1682965962.243925,217,229.0
1682965963.4766667,218,73.0
1682965964.0767984,219,36.0
1682965966.541615,220,140.0
